create table categories (id bigint not null auto_increment, name varchar(255) not null, status enum ('ENABLED','DISABLED') not null, parent_category bigint, primary key (id)) engine=InnoDB | 2024-05-07 09:59:40.181 | took 3310 ms | statement - connection 1
create table products (id bigint not null auto_increment, description varchar(255), images varbinary(255) not null, name varchar(255) not null, status enum ('ENABLED','DISABLED') not null, categories_id bigint not null, primary key (id)) engine=InnoDB | 2024-05-07 09:59:41.431 | took 1249 ms | statement - connection 1
create table products_details (products_variants_id bigint not null, variants_values_id bigint not null, primary key (products_variants_id, variants_values_id)) engine=InnoDB | 2024-05-07 09:59:42.384 | took 937 ms | statement - connection 1
create table products_variants (id bigint not null auto_increment, description varchar(255) not null, images varbinary(255) not null, price decimal(38,2) not null, sku varchar(255) not null, stock integer not null, products_id bigint not null, primary key (id)) engine=InnoDB | 2024-05-07 09:59:43.09 | took 611 ms | statement - connection 1
create table variants (id bigint not null auto_increment, name varchar(255) not null, categories_id bigint not null, primary key (id)) engine=InnoDB | 2024-05-07 09:59:43.947 | took 927 ms | statement - connection 1
create table variants_values (id bigint not null auto_increment, value varchar(255) not null, variants_id bigint not null, primary key (id)) engine=InnoDB | 2024-05-07 09:59:44.431 | took 491 ms | statement - connection 1
alter table categories drop index UK_t8o6pivur7nn124jehx7cygw5 | 2024-05-07 09:59:44.994 | took 559 ms | statement - connection 1
alter table categories add constraint UK_t8o6pivur7nn124jehx7cygw5 unique (name) | 2024-05-07 09:59:45.947 | took 950 ms | statement - connection 1
alter table products drop index UK_o61fmio5yukmmiqgnxf8pnavn | 2024-05-07 09:59:45.978 | took 20 ms | statement - connection 1
alter table products add constraint UK_o61fmio5yukmmiqgnxf8pnavn unique (name) | 2024-05-07 09:59:46.525 | took 533 ms | statement - connection 1
alter table products_variants drop index UK_onsuqtgqbo29atvr2f8teo9ah | 2024-05-07 09:59:46.540 | took 11 ms | statement - connection 1
alter table products_variants add constraint UK_onsuqtgqbo29atvr2f8teo9ah unique (sku) | 2024-05-07 09:59:46.994 | took 447 ms | statement - connection 1
alter table variants drop index UK_tdbt0xrggjpa1muu206g6ie2y | 2024-05-07 09:59:46.994 | took 9 ms | statement - connection 1
alter table variants add constraint UK_tdbt0xrggjpa1muu206g6ie2y unique (name) | 2024-05-07 09:59:47.337 | took 343 ms | statement - connection 1
alter table variants_values drop index UK_km6xjdsloh63f5yjrdt8b530u | 2024-05-07 09:59:47.353 | took 7 ms | statement - connection 1
alter table variants_values add constraint UK_km6xjdsloh63f5yjrdt8b530u unique (value) | 2024-05-07 09:59:47.822 | took 469 ms | statement - connection 1
alter table categories add constraint FKg4vpokbn2d1bdlgih0qfo72n0 foreign key (parent_category) references categories (id) | 2024-05-07 09:59:50.25 | took 2195 ms | statement - connection 1
